id,name,street,town,area,lat,lng,provider
1199,"Kværnerbyen, Oslo","Turbinveien 2, 0195 Oslo",Oslo,Oslo,59.90464,10.78652,Q-park / Lodalen Utvikling AS
341,"Kyrre Grepps gate, Oslo","Kyrre Grepps gate 4, 0481 Oslo",Oslo,Oslo,59.94107,10.77671,Oslo kommune
974,"Lambertseter senter p-hus, Oslo","Cecilie Thoresens vei 17-21, 1153 Oslo",Oslo,Oslo,59.8749,10.81093,Lambertseter senter/OBOS/Q-park
985,"Lambertseter senter ute, Oslo","Langbølgen 1, 1163 Oslo",Oslo,Oslo,59.87349,10.8117,EuroPark AS / OBOS
8013,Langgata 46 Oslo kommune,"Langgata 46, 0567 Oslo",Oslo,Oslo,59.92598,10.77226,Oslo kommune
2513,Leirfallsgata,"Leirfallsgata , 0550 Oslo",Oslo,Oslo,59.91913,10.75852,Oslo kommune
61,Lindemansgate,"Lindemansgate 2, 0267 Oslo",Oslo,Oslo,59.92178,10.70416,Oslo kommune
927,"Linderud senter, Oslo","Erich Mogensøns vei 38, 0594 Oslo",Oslo,Oslo,59.94313,10.83636,Linderud Senter
3478,Linderudkollen,"Solemskogen 886, 0496 Oslo",Oslo,Oslo,59.97211,10.81254,Oslo kommune
2514,Linderudveien,"Linderudveien 20, 0594 Oslo",Oslo,Oslo,59.94092,10.84133,Oslo kommune
6307,Lofsrudveien 282,"Lofsrudveien 282, 1281 Oslo",Oslo,Oslo,59.84216,10.83181,Oslo kommune
3174,Lovisenberg Diakonale Sykehus,"Lovisenberggata 17, 0456 Oslo",Oslo,Oslo,59.93336,10.74688,Lovisenberg Diakonale Sykehus
357,"Lovisenberg, Oslo","Lovisenberggata 4F, 0456 Oslo",Oslo,Oslo,59.9322,10.74366,Oslo kommune
1819,"Lysebu Kurs- og konferansesenter, Oslo","Lysebuveien 12, 0790 Oslo",Oslo,Oslo,59.97724,10.65551,"Lysebu Kurs- og konferansesenter, Oslo"
3282,"Lørenveien 11, Oslo","Lørenveien 11, 0585 Oslo",Oslo,Oslo,59.9326,10.7871,Oslo kommune
4255,Løvenskiolds gate 26,"Løvenskiolds gate 26, 0260 Oslo",Oslo,Oslo,59.9225,10.71584,Kiwi Briskeby
1659,"Make Invest AS, Oslo","Maridalsveien 10, 0178 Oslo",Oslo,Oslo,59.92074,10.7513,Make Invest AS
7241,Manglerud senter,"Plogveien 6, 0679 Oslo",Oslo,Oslo,59.8976658,10.8147651,Mer
6722,Manglerudveien 5,"Manglerudveien 5, 0678 Oslo",Oslo,Oslo,59.90023,10.80571,Oslo kommune
969,"Maridalen skole, Oslo","Gamle Maridalsvei 47, 0890 Oslo",Oslo,Oslo,60.00465,10.76345,Undervisningsbygg KF
359,Maridalsveien,"Maridalsveien 39, 0175 Oslo",Oslo,Oslo,59.92764,10.75108,Oslo kommune
6436,Maridalsveien 205,"Maridalsveien 205, 0469 Oslo",Oslo,Oslo,59.94239,10.76291,Oslo kommune
2216,Marstrandsgate  6,"Marstrandsgate 6, 0566 Oslo",Oslo,Oslo,59.92681,10.76911,Q-Park
5887,Matkroken,"Karl Staffs vei 10, 0665 Oslo",Oslo,Oslo,59.91928,10.81691,Charge365
1119,Mauritz Hansens gate,"Mauritz Hansens gate 2, 0350 Oslo",Oslo,Oslo,59.92116,10.73093,Oslo kommune
1958,"McDonald's Alnabru, Oslo","Strømsveien 241, 0668 Oslo",Oslo,Oslo,59.92508,10.84307,Recharge
1816,McDonalds Furuset,"Tevlingveien 17, 1081 Oslo",Oslo,Oslo,59.93114,10.86901,Recharge
3733,McDonalds Gaustad,"Klaus Torgårds vei 3, 0372 Oslo",Oslo,Oslo,59.94838,10.72313,Recharge
3331,McDonalds Grorud,"Grorudveien 73, 0976 Oslo",Oslo,Oslo,59.94968,10.88556,Recharge
3490,Mekanikerveien,"Mekanikerveien 5, 0683 Oslo",Oslo,Oslo,59.90345,10.84061,Oslo kommune
